tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
LUBELSKIE;chełmski;Siedliszcze;Siedliszcze;;1309.0
LUBELSKIE;chełmski;Wierzbica;Wierzbica;;
LUBELSKIE;chełmski;Wojsławice;Wojsławice;;
LUBELSKIE;chełmski;Wojsławice;Wojsławice;;
LUBELSKIE;chełmski;Żmudź;Żmudź;;
LUBELSKIE;hrubieszowski;Dołhobyczów;Dołhobyczów;;
LUBELSKIE;hrubieszowski;Horodło;Horodło;;
LUBELSKIE;hrubieszowski;Hrubieszów;Hrubieszów;;15735.0
LUBELSKIE;hrubieszowski;Mircze;Mircze;;
LUBELSKIE;hrubieszowski;Uchanie;Uchanie;;
LUBELSKIE;hrubieszowski;Werbkowice;Werbkowice;;
LUBELSKIE;janowski;Batorz;Batorz;;
LUBELSKIE;janowski;Chrzanów;Chrzanów;;
LUBELSKIE;janowski;Dzwola;Dzwola;;
LUBELSKIE;janowski;Janów Lubelski;Janów Lubelski;;10721.0
LUBELSKIE;janowski;Modliborzyce;Modliborzyce;;1401.0
LUBELSKIE;janowski;Potok Wielki;Potok Wielki;;
LUBELSKIE;krasnostawski;Fajsławice;Fajsławice;;
